Financial Years	Q109	Q209	Q309	Q409	Q110	Q210	Q310	Q410	Q111	Q211	Q311	Q411	Q112	Q212	Q312	Q412	Q113	Q213	Q313	Q413	Q114	Q214	Q314	Q414	Q115	Q215	Q315	Q415	Q116	Q216	Q316	Q416	Q117	Q217	Q317	Q417	Q118	Q218	Q318	Q418	Q119	Q219	Q319	Q419	Q120	Q220	Q320	Q420	Q121	Q221	Q321	Q421	Q122	Q222	Q322	Q422	Q123	Q223	Q323	Q423	Q124	Q224	Q324	Q424	Q125	Q225	Q126	Q226
Pension Plans and similar commitments	6,296	7,131	6,803	5,938	6,155	6,532	8,054	8,464	7,234	5,845	5,997	7,307	6,774	7,492	9,060	9,926	9,856	9,890	9,325	9,265	8,771	9,614	10,473	9,324	10,626	12,106	9,724	9,811	10,095	11,683	13,537	13,695	11,145	10,473	9,778	9,582	9,656	8,115	7,588	7,684	9,211	9,426	9,486	9,896	8,593	7,512	7,890	6,360	4,968	3,288	2,877	2,839	2,865	2,209	1,892	2,275	1,804	1,776	1,692	1,426	1,505	1,383	1,328	912	866	833	703	690
Deferred Tax Liabilities	841	790	741	776	794	794	802	577	661	711	687	595	596	558	539	494	517	554	593	504	527	506	501	552	572	512	743	609	591	530	538	829	1,003	1,175	1,205	1,635	1,492	1,388	1,436	1,092	1,105	982	882	1,305	1,365	879	688	664	659	677	2,360	2,337	2,563	2,692	2,535	2,381	2,162	1,889	2,154	1,655	1,758	1,854	1,731	1,483	1,633	1,605	1,390	1,453
Provisions	2,536	2,594	2,602	2,771	2,799	2,932	3,015	3,332	3,155	2,977	2,989	3,654	3,771	3,897	3,914	3,908	3,904	3,853	3,715	3,907	3,843	3,768	3,925	4,071	4,142	5,145	4,782	4,865	4,620	4,874	5,009	5,087	4,503	4,025	4,742	4,366	4,173	4,384	4,365	4,216	4,198	4,146	4,014	3,714	3,651	1,855	1,871	2,352	2,327	2,329	1,835	1,723	1,724	1,882	1,819	1,857	1,820	1,888	1,863	1,463	1,473	1,387	1,368	1,120	1,248	1,229	1,200	1,217
Other Financial Liabilities	334	307	244	706	705	976	1,517	990	969	721	739	824	1,270	1,089	1,223	1,083	965	1,192	1,040	1,184	1,260	1,289	1,204	1,620	1,809	2,576	2,164	1,466	1,499	1,088	1,335	1,142	1,087	971	1,024	902	832	708	791	685	807	864	900	986	890	1,030	897	769	745	738	703	679	805	875	1,298	1,867	1,894	1,802	1,796	1,516	1,131	1,108	1,096	864	862	783	540	637
Other Liabilities	2,137	2,091	2,069	2,022	2,106	2,251	2,335	2,280	2,365	1,932	1,870	1,867	1,952	2,040	2,053	2,052	2,050	2,059	2,118	2,074	2,000	1,952	1,845	1,874	1,890	2,234	2,268	2,297	2,352	2,225	2,271	2,471	2,424	2,529	2,454	2,153	2,104	2,027	2,087	2,198	2,099	2,134	2,108	2,226	2,275	1,565	1,659	1,808	1,756	1,831	1,838	1,925	1,895	1,730	1,673	1,654	1,610	1,604	1,679	1,933	2,057	2,077	1,943	1,968	1,984	1,900	2,097	1,998
Total Liabilities	70,661	72,768	69,122	67,639	67,009	68,863	74,572	73,731	72,882	70,439	69,779	72,087	71,911	73,009	75,944	76,980	74,426	79,274	78,605	73,312	71,300	72,709	74,223	73,365	77,166	82,114	86,358	85,292	86,600	85,011	87,361	90,901	87,010	92,823	91,706	91,492	90,672	87,277	86,089	90,869	95,972	95,814	96,068	99,265	100,346	106,960	110,732	84,074	81,024	87,063	90,155	90,381	92,311	93,325	94,784	96,697	92,709	92,602	93,205	92,019	93,948	93,525	93,353	91,581	93,018	99,418	98,114	97,034

S/E	26,147	25,336	27,144	26,646	28,071	28,340	29,522	28,346	31,292	30,915	30,992	31,530	33,306	31,574	31,732	30,733	30,025	26,071	27,393	28,111	29,856	27,856	28,136	30,954	30,996	33,176	34,699	34,474	36,107	32,833	33,005	34,211	38,613	37,920	41,947	43,181	44,028	43,672	45,511	45,474	45,002	44,472	44,776	48,125	49,240	44,627	43,843	36,390	37,065	40,126	42,075	44,160	47,002	45,536	45,723	48,895	45,708	45,195	45,362	47,782	46,011	46,199	49,801	51,264	59,403	57,574	65,481	64,387
L+S/E	97,422	98,742	96,912	94,926	95,731	97,832	104,783	102,827	104,939	101,922	101,321	104,243	105,858	105,151	108,256	108,282	104,977	105,894	106,514	101,936	101,672	101,045	102,856	104,879	108,729	115,900	121,631	120,348	123,286	118,327	120,885	125,717	126,230	131,366	135,227	136,111	136,056	133,375	134,081	138,915	143,608	142,928	143,532	150,248	152,344	154,174	157,086	123,897	121,433	131,658	136,831	139,372	144,409	143,946	145,988	151,502	143,929	142,997	143,684	145,071	144,784	144,751	148,121	147,812	157,855	162,593	170,134	167,971

Current Assets Growth %					-0.7%	0.5%	10.3%	13.8%	19.4%	21.7%	10.0%	5.8%	-1.7%	-4.8%	-1.7%	-0.8%	-4.6%	-4.0%	-2.8%	-10.0%	-5.8%	-9.5%	-8.7%	2.4%	6.0%	10.4%	8.7%	7.0%	9.0%	1.1%	1.3%	7.6%	2.7%	14.0%	12.8%	9.8%	10.2%	6.2%	3.1%	6.3%	10.7%	6.9%	10.1%	9.0%	2.7%	38.2%	40.9%	-24.7%	-22.1%	-29.4%	-44.2%	-1.3%	4.2%	-12.8%	12.0%	12.5%	4.0%	3.8%	2.4%	3.1%	4.4%	3.4%	3.1%	1.2%	12.2%	8.8%	-1.1%	6.2%
Assets Growth %					-1.7%	-0.9%	8.1%	8.3%	9.6%	4.2%	-3.3%	1.4%	0.9%	3.2%	6.8%	3.9%	-0.8%	0.7%	-1.6%	-5.9%	-3.1%	-4.6%	-3.4%	2.9%	6.9%	14.7%	18.3%	14.7%	13.4%	2.1%	-0.6%	4.5%	2.4%	11.0%	11.9%	8.3%	7.8%	1.5%	-0.8%	2.1%	5.6%	7.2%	7.0%	8.2%	6.1%	7.9%	9.4%	-17.5%	-20.3%	-14.6%	-12.9%	12.5%	18.9%	9.3%	6.7%	8.7%	-0.3%	-0.7%	-1.6%	-4.2%	0.6%	1.2%	3.1%	1.9%	9.0%	12.3%	7.8%	3.3%
Total Liabilities Growth Rate %					-5.2%	-5.4%	7.9%	9.0%	8.8%	2.3%	-6.4%	-2.2%	-1.3%	3.6%	8.8%	6.8%	3.5%	8.6%	3.5%	-4.8%	-4.2%	-8.3%	-5.6%	0.1%	8.2%	12.9%	16.3%	16.3%	12.2%	3.5%	1.2%	6.6%	0.5%	9.2%	5.0%	0.7%	4.2%	-6.0%	-6.1%	-0.7%	5.8%	9.8%	11.6%	9.2%	4.6%	11.6%	15.3%	-15.3%	-19.3%	-18.6%	-18.6%	7.5%	13.9%	7.2%	5.1%	7.0%	0.4%	-0.8%	-1.7%	-4.8%	1.3%	1.0%	0.2%	-0.5%	-1.0%	6.3%	5.5%	-2.4%
Liabilites Growth %					-5.2%	-5.4%	7.9%	9.0%	8.8%	2.3%	-6.4%	-2.2%	-1.3%	3.6%	8.8%	6.8%	3.5%	8.6%	3.5%	-4.8%	-4.2%	-8.3%	-5.6%	0.1%	8.2%	12.9%	16.3%	16.3%	12.2%	3.5%	1.2%	6.6%	0.5%	9.2%	5.0%	0.7%	4.2%	-6.0%	-6.1%	-0.7%	5.8%	9.8%	11.6%	9.2%	4.6%	11.6%	15.3%	-15.3%	-19.3%	-18.6%	-18.6%	7.5%	13.9%	7.2%	5.1%	7.0%	0.4%	-0.8%	-1.7%	-4.8%	1.3%	1.0%	0.2%	-0.5%	-1.0%	6.3%	5.5%	-2.4%
Lt Debt as of Revenue %				24.7%	25.2%	26.0%	26.9%	23.0%	20.5%	18.7%	19.1%	19.4%	19.8%	19.6%	19.8%	21.5%	21.2%	26.2%	25.2%	24.7%	24.7%	25.1%	25.1%	26.4%	26.7%	27.5%	35.8%	35.3%	33.0%	28.9%	28.8%	31.1%	32.3%	39.4%	33.3%	32.3%	31.6%	30.3%	31.6%	32.7%	33.3%	35.5%	36.7%	46.8%	51.1%	56.5%	63.1%	60.0%	62.9%	75.7%	67.1%	65.7%	64.6%	61.5%	60.5%	61.1%	57.3%	53.5%	51.4%	51.3%	51.7%	56.7%	54.6%	53.5%	54.0%	49.6%
Quick Ratio	0.63	0.66	0.71	0.75	0.77	0.75	0.77	0.79	0.79	0.73	0.70	0.70	0.67	0.65	0.66	0.69	0.66	0.64	0.61	0.74	0.75	0.72	0.71	0.74	0.70	0.77	0.76	0.82	0.80	0.71	0.72	0.82	0.84	0.85	0.77	0.74	0.79	0.79	0.78	0.81	0.80	0.73	0.70	0.83	0.80	0.56	0.60	1.07	1.05	1.35	0.83	0.83	0.91	0.80	0.82	0.86	0.89	0.82	0.82	0.85	0.82	0.85	0.81	0.83	0.96	0.76	0.90	0.79
Current Ratio	1.04	1.11	1.18	1.20	1.24	1.24	1.26	1.22	1.23	1.24	1.24	1.21	1.21	1.21	1.21	1.22	1.23	1.20	1.21	1.24	1.28	1.22	1.24	1.31	1.29	1.28	1.28	1.30	1.29	1.20	1.23	1.29	1.35	1.38	1.30	1.32	1.33	1.35	1.38	1.35	1.33	1.29	1.26	1.39	1.38	1.58	1.63	1.55	1.56	1.84	1.29	1.31	1.39	1.30	1.33	1.38	1.42	1.34	1.33	1.35	1.32	1.41	1.40	1.40	1.54	1.19	1.38	1.39
DSO		74.5	74.1	67.9	76.1	71.5	71.1	65.5	78.9	73.5	70.0	64.8	79.5	75.0	73.9	66.3	79.3	78.4	76.3	68.8	78.3	74.4	73.3	65.0	78.1	76.4	77.3	69.9	78.8	77.8	75.0	68.8	78.1	74.2	73.6	71.1	79.0	76.0	76.2	72.2	83.4	116.9	120.3	107.1	85.2	105.8	94.9	83.7	91.3	85.4	82.3	80.8	87.7	84.2	81.8	73.5	85.6	77.7	83.7	76.3	86.5	81.6	81.9	74.8	85.8	79.0		78.4
DIO		98.5	104.4	92.4	109.9	103.9	107.3	90.3	118.5	115.0	112.1	98.8	112.6	109.4	110.8	96.5	114.4	114.1	111.1	98.2	120.3	117.0	116.1	96.2	116.6	119.1	121.3	107.2	124.1	127.2	124.4	109.2	129.6	127.6	121.6	100.3	93.9	93.7	92.1	81.8	93.4	155.6	157.9	138.3	97.2	121.4	90.3	75.1	81.7	74.9	75.3	73.5	83.0	79.1	81.7	76.3	90.6	84.1	97.0	86.5	97.2	94.1	100.0	82.2	92.4	86.4		84.2
DPO		50.5	50.8	46.3	55.0	48.5	50.0	44.6	59.5	54.0	49.2	45.6	53.3	48.4	49.0	45.9	52.3	46.7	46.4	44.5	53.8	48.1	48.5	44.3	54.2	50.0	49.0	45.3	52.2	49.5	48.3	45.5	54.5	51.2	52.7	56.0	61.9	58.0	58.5	58.0	67.1	103.1	103.6	98.4	69.2	82.9	64.9	63.8	78.3	68.3	68.2	69.7	77.4	69.4	70.6	69.3	81.9	69.9	78.3	72.1	79.2	69.4	70.6	61.4	71.6	65.0		65.3
Net Trading Cycles		122.5	127.7	114.0	131.1	126.9	128.3	111.1	137.9	134.5	132.9	118.1	138.8	136.0	135.7	116.9	141.4	145.8	140.9	122.5	144.8	143.3	140.9	117.0	140.5	145.5	149.7	131.8	150.7	155.6	151.1	132.6	153.1	150.5	142.5	115.4	110.9	111.7	109.8	96.0	109.7	169.3	174.6	146.9	113.3	144.4	120.3	95.0	94.7	92.0	89.4	84.6	93.3	93.9	92.9	80.5	94.4	91.8	102.4	90.7	104.5	106.2	111.3	95.6	106.6	100.4		97.3
Debt Ratio	0.73	0.74	0.71	0.71	0.70	0.70	0.71	0.72	0.69	0.69	0.69	0.69	0.68	0.69	0.70	0.71	0.71	0.75	0.74	0.72	0.70	0.72	0.72	0.70	0.71	0.71	0.71	0.71	0.70	0.72	0.72	0.72	0.69	0.71	0.68	0.67	0.67	0.65	0.64	0.65	0.67	0.67	0.67	0.66	0.66	0.69	0.70	0.68	0.67	0.66	0.66	0.65	0.64	0.65	0.65	0.64	0.64	0.65	0.65	0.63	0.65	0.65	0.63	0.62	0.59	0.61	0.58	0.58
SE Growth %					7.4%	11.9%	8.8%	6.4%	11.5%	9.1%	5.0%	11.2%	6.4%	2.1%	2.4%	-2.5%	-9.9%	-17.4%	-13.7%	-8.5%	-0.6%	6.8%	2.7%	10.1%	3.8%	19.1%	23.3%	11.4%	16.5%	-1.0%	-4.9%	-0.8%	6.9%	15.5%	27.1%	26.2%	14.0%	15.2%	8.5%	5.3%	2.2%	1.8%	-1.6%	5.8%	9.4%	0.3%	-2.1%	-24.4%	-24.7%	-10.1%	-4.0%	21.4%	26.8%	13.5%	8.7%	10.7%	-2.8%	-0.7%	-0.8%	-2.3%	0.7%	2.2%	9.8%	7.3%	29.1%	24.6%	10.2%	11.8%
