Financial Years	Q109	Q209	Q309	Q409	Q110	Q210	Q310	Q410	Q111	Q211	Q311	Q411	Q112	Q212	Q312	Q412	Q113	Q213	Q313	Q413	Q114	Q214	Q314	Q414	Q115	Q215	Q315	Q415	Q116	Q216	Q316	Q416	Q117	Q217	Q317	Q417	Q118	Q218	Q318	Q418	Q119	Q219	Q319	Q419	Q120	Q220	Q320	Q420	Q121	Q221	Q321	Q421	Q122	Q222	Q322	Q422	Q123	Q223	Q323	Q423	Q124	Q224	Q324	Q424	Q125	Q225	Q126	Q226
R&D	-914	-972	-989	-1,025	-822	-920	-936	-1,168	-864	-967	-940	-1,144	-986	-1,066	-1,082	-1,127	-994	-1,036	-1,060	-1,124	-959	-1,064	-1,051	-1,150	-985	-1,112	-1,122	-1,264	-1,061	-1,150	-1,200	-1,322	-1,127	-1,214	-1,347	-1,477	-1,224	-1,395	-1,372	-1,567	-1,306	-1,143	-1,156	-1,283	-1,340	-1,167	-1,096	-1,207	-1,064	-1,128	-1,220	-1,447	-1,251	-1,359	-1,400	-1,582	-1,430	-1,528	-1,523	-1,665	-1,512	-1,586	-1,561	-1,651	-1,545	-1,621	-1,637	-1,654
SG&D	-2,868	-2,520	-2,586	-2,922	-2,543	-2,527	-2,871	-3,189	-2,411	-2,506	-2,581	-2,777	-2,638	-2,612	-2,846	-3,093	-2,601	-2,719	-2,826	-2,946	-2,594	-2,613	-2,556	-2,885	-2,619	-2,756	-2,937	-3,098	-2,851	-2,878	-2,911	-3,029	-2,902	-2,940	-3,205	-3,312	-3,139	-3,067	-3,238	-3,497	-3,252	-2,542	-2,692	-2,843	-3,549	-2,670	-2,541	-2,699	-2,461	-2,562	-2,940	-3,228	-2,933	-3,081	-3,179	-3,663	-3,349	-3,375	-3,318	-3,688	-3,460	-3,468	-3,571	-3,671	-3,500	-3,659	-3,608	-3,563
Other Income	185	99	597	184	169	299	188	200	260	78	106	111	114	110	98	204	139	56	77	50	315	153	129	241	92	119	109	155	56	39	126	106	331	64	122	130	168	31	180	121	88	125	63	113	286	74	33	268	122	27	36	51	29	38	833	1,271	172	52	126	223	195	75	136	141	105	396	151	308
Operating Expenses	-117	-168	-206	-141	-56	-34	-100	-1,421	-214	-72	-34	-55	-101	-29	-41	-105	-137	-55	-55	0	-164	-91	-94	0	-70	-95	-79	-144	-119	-87	-35	-187	-95	-167	-91	-241	-160	-165	-145	-208	-119	-71	-42	-117	-100	-59	-54	-183	-180	-102	-87	-61	-85	-70	-52	-78	-134	-126	-125	-66	-79	-205	-139	-93	-85	-118	-45	-90
Total Expenses	-3,714	-3,561	-3,184	-3,904	-3,252	-3,182	-3,719	-5,578	-3,229	-3,467	-3,449	-3,865	-3,611	-3,597	-3,871	-4,121	-3,593	-3,754	-3,864	-4,020	-3,402	-3,615	-3,572	-3,794	-3,582	-3,844	-4,029	-4,351	-3,975	-4,076	-4,020	-4,432	-3,793	-4,257	-4,521	-4,900	-4,355	-4,596	-4,575	-5,151	-4,589	-3,631	-3,827	-4,130	-4,703	-3,822	-3,658	-3,821	-3,583	-3,765	-4,211	-4,685	-4,240	-4,472	-3,798	-4,052	-4,741	-4,977	-4,840	-5,196	-4,856	-5,184	-5,135	-5,274	-5,025	-5,002	-5,139	-4,999
EBIT	1,926	1,400	1,797	1,224	2,042	2,085	2,068	-279	2,419	2,055	1,730	1,986	1,471	1,975	1,676	1,864	1,594	1,262	1,153	1,371	1,837	1,365	1,632	1,928	1,591	1,541	1,280	1,629	1,778	1,776	1,971	1,790	2,292	2,274	1,599	1,408	1,606	1,709	1,507	1,363	1,321	1,767	1,336	2,044	1,063	1,251	1,185	1,394	1,736	1,474	1,661	1,623	1,965	1,269	2,431	3,620	2,226	2,222	2,266	2,920	2,326	2,086	2,613	2,652	2,064	2,667	2,494	2,685
Income from Investment	117	-49	-97	-1,917	115	-64	34	-125	123	92	-43	20	198	-563	-26	102	95	68	188	159	154	195	76	157	55	1,321	-15	-126	30	122	18	-37	45	-127	24	100	42	-68	38	-15	78	72	-37	5	42	-3	-84	-553	-23	-18	-142	-244	239	145	-2,814	346	-178	1,818	-533	-201	664	72	39	52	90	257	284	62
Interest Income	-308	-16	-38	-148	37	11	-38	-75	57	1,590	-610	101	177	86	195	46	10	3	17	-23	-25	49	132	-42	-89	-313	300	43	66	5	-137	19	357	16	151	51	698	1,025	85	59	148	139	142	75	221	68	307	611	251	528	190	461	243	337	-529	-96	176	100	227	144	268	138	200	199	228	249	165	108
Interest Expense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other Financial Income	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBT	1,735	1,335	1,662	-841	2,194	2,032	2,064	-479	2,599	3,737	1,077	2,107	1,846	1,497	1,846	2,014	1,700	1,333	1,358	1,506	1,967	1,609	1,840	2,042	1,557	2,550	1,566	1,545	1,875	1,904	1,853	1,772	2,695	2,162	1,774	1,558	2,345	2,667	1,631	1,408	1,547	1,978	1,441	2,123	1,326	1,316	1,408	1,453	1,964	1,984	1,708	1,841	2,447	1,750	-912	3,869	2,223	4,141	1,959	2,863	3,259	2,294	2,852	2,903	2,381	3,173	2,944	2,856

Taxes	-475	-380	-438	-141	-668	-548	-623	140	-753	-563	-314	-594	-490	-444	-617	-535	-550	-352	-352	-403	-581	-446	-470	-539	-451	-554	-321	-544	-391	-510	-516	-590	-727	-733	-350	-338	-147	-692	-467	-749	-429	-260	-381	-747	-238	-302	-422	-381	-488	-468	-332	-571	-636	-541	-611	-953	-579	-588	-573	-947	-724	-260	-694	-727	-580	-733	-718	-722
Income From Continuous Operations	1,260	955	1,224	-982	1,526	1,484	1,441	-339	1,846	3,174	763	1,513	1,356	1,053	1,229	1,479	1,150	980	1,006	1,103	1,386	1,163	1,371	1,503	1,106	1,997	1,245	1,001	1,484	1,394	1,337	1,182	1,968	1,429	1,424	1,220	2,199	1,974	1,164	659	1,118	1,718	1,059	1,376	1,088	1,014	986	1,072	1,475	1,516	1,376	1,269	1,812	1,209	-1,523	2,915	1,644	3,554	1,386	1,916	2,535	2,034	2,158	2,176	1,801	2,441	2,225	2,134
Income From Dis-continued operations	-30	58	93	-81	5	14	-6	-57	-93	-338	-262	-283	101	-38	-379	-211	64	49	92	-35	71	-10	28	-4	-11	1,912	131	-1	73	86	35	-6	12	25	-15	31	12	44	46	22	0	205	78	94	1	-317	-451	807	23	874	105	60	-15	4	-7	-2	-8	-3	55	-14	13	162	-25	-61	2,067	-1	-3	102
Net Income	1,230	1,013	1,317	-1,063	1,531	1,498	1,435	-396	1,753	2,836	501	1,231	1,457	1,015	850	1,268	1,214	1,030	1,098	1,068	1,457	1,153	1,399	1,498	1,095	3,908	1,376	1,000	1,557	1,480	1,372	1,176	1,980	1,454	1,409	1,251	2,211	2,018	1,210	681	1,118	1,923	1,137	1,470	1,089	697	535	1,879	1,498	2,390	1,480	1,330	1,796	1,213	-1,531	2,913	1,636	3,551	1,440	1,902	2,548	2,196	2,133	2,115	3,868	2,439	2,222	2,236

Assets
Cash & Cash Equivalets	6,071	7,684	9,018	10,159	10,446	9,753	11,829	14,108	15,662	14,973	13,006	12,468	8,977	8,424	8,963	10,891	7,823	7,892	6,071	9,190	8,885	8,585	8,210	8,013	6,743	8,844	8,206	9,957	10,605	6,307	6,380	10,604	9,527	9,881	8,485	8,375	9,996	9,581	7,090	11,066	12,389	8,885	8,022	12,391	11,350	7,832	12,084	14,041	14,016	23,639	10,678	9,545	12,199	9,495	10,097	10,465	10,135	9,186	9,802	10,084	10,769	7,715	7,758	9,156	13,926	12,686	15,263	8,664
Available-for-sale financial assets	144	162	156	170	178	292	262	246	242	430	425	477	478	542	532	524	517	533	506	601	666	799	907	925	1,025	1,100	1,131	1,175	1,096	1,222	1,258	1,293	1,291	1,274	1,271	1,242	1,152	1,171	1,198	1,286
Trade and OR	16,145	15,230	14,635	14,449	14,269	14,697	15,272	14,971	15,205	13,724	13,747	14,847	16,104	15,709	16,052	15,220	15,688	15,271	15,918	14,853	14,621	14,231	14,623	14,526	15,030	15,607	16,423	15,982	16,390	16,105	16,560	16,287	16,326	16,871	17,563	16,754	17,274	16,724	17,567	17,918	18,569	18,424	19,219	18,894	18,746	14,346	13,790	14,074	13,866	13,951	15,126	15,518	15,916	15,960	16,162	16,701	16,941	16,587	16,791	17,405	17,215	17,159	16,865	16,963	17,287	17,418	16,881	17,535
Other Current Financial Assets	4,720	3,459	2,915	2,407	2,449	2,418	2,508	2,610	2,841	3,049	3,007	2,628	3,114	3,355	3,258	2,901	2,814	3,094	3,372	3,250	3,226	3,002	3,137	3,710	4,197	4,729	4,487	5,157	5,682	6,182	6,076	6,800	7,260	7,318	7,424	7,664	7,879	8,300	8,041	8,693	9,446	9,806	9,745	10,669	9,949	9,834	8,470	8,382	8,410	9,144	7,493	7,985	8,791	8,603	9,642	9,696	9,864	9,697	10,039	10,605	10,240	11,161	10,802	10,492	11,782	11,246	12,451	13,103
Inventories	15,146	15,488	15,181	14,129	14,684	15,244	16,304	14,950	15,844	15,323	15,874	15,143	16,233	16,774	17,292	15,679	15,987	16,381	16,807	15,560	16,060	16,364	16,073	15,100	15,941	17,576	18,521	17,253	18,203	18,554	19,200	18,160	18,813	19,752	20,802	13,885	14,402	14,414	14,714	13,885	14,957	15,634	15,858	14,806	15,946	8,475	8,691	7,795	7,743	7,956	8,956	8,836	9,737	10,114	10,786	10,626	11,241	11,580	11,961	11,548	12,184	12,400	12,105	10,923	11,707	11,498	11,100	11,499
Income Tax Receivables	608	582	570	612	509	603	777	790	794	738	808	798	766	786	717	836	804	749	698	794	637	579	658	577	529	622	734	644	665	697	837	790	812	886	941	1,098	810	786	1,003	1,010	1,065	1,120	1,147	1,103	1,698	1,681	1,584	1,523	1,508	1,601	1,727	1,795	1,502	1,534	1,596	1,432	1,361	1,493	1,737	1,363	1,501	1,581	1,995	1,767	1,647	1,804	1,673	1,855
Other Current Assets	1,319	1,390	1,360	1,191	1,276	1,326	1,317	1,258	1,385	1,297	1,277	1,264	1,343	1,467	1,359	1,277	1,343	1,375	1,353	1,297	1,407	1,281	1,288	1,290	1,349	1,406	1,326	1,151	1,314	1,446	1,288	1,204	1,300	1,474	1,600	1,466	1,657	1,685	1,760	1,707	1,899	1,922	2,106	1,960	2,006	1,414	1,386	1,271	1,239	1,299	1,430	1,751	1,326	1,849	1,726	1,935	1,841	1,868	2,139	1,955	1,635	1,725	1,561	1,632	1,775	1,795	1,985	1,798
Assetes classifies as held for disposal	449	771	523	517	489	645	680	715	913	5,195	5,708	4,917	4,990	5,034	4,781	4,800	4,638	4,701	6,763	1,393	1,246	418	2,093	3,935	4,720	100	228	122	59	30	103	190	127	158	242	1,484	68	254	123	94	66	58	46	238	218	41,557	42,068	338	1,862	241	229	223	401	1,452	1,184	413	300	293	78	99	189	123	2,424	2,433	2,406	114	308	5,785
Total Current Assets (TCA)	44,602	44,766	44,358	43,634	44,300	44,978	48,949	49,648	52,886	54,729	53,852	52,542	52,005	52,091	52,953	52,129	49,615	49,996	51,488	46,937	46,748	45,259	46,990	48,076	49,534	49,985	51,057	51,442	54,013	50,544	51,702	55,329	55,457	57,615	58,328	60,750	61,108	61,162	60,159	64,570	67,625	65,391	66,209	70,370	69,470	90,396	93,288	52,968	54,119	63,793	52,012	52,298	56,365	55,650	58,239	58,829	58,592	57,737	59,613	60,639	61,198	59,690	61,472	61,353	68,673	64,951	67,912	68,954
Goodwill	16,095	16,491	16,127	15,821	16,195	16,889	17,975	15,763	16,019	15,321	15,241	15,706	16,374	16,495	17,397	17,069	16,831	17,396	18,225	17,883	17,623	17,673	17,236	17,783	18,050	19,628	24,074	23,166	23,810	23,229	24,351	24,159	24,931	27,131	28,633	27,906	27,908	27,437	28,226	28,344	28,968	29,647	29,367	30,160	30,883	21,334	21,033	20,449	19,872	20,605	28,376	29,672	30,428	30,760	31,677	33,861	32,116	31,820	31,772	32,224	31,807	32,094	32,002	31,384	32,803	39,951	40,650	41,234
Other intangible assets	5,361	5,384	5,138	5,026	5,038	5,178	5,363	4,969	4,913	4,463	4,381	4,444	4,526	4,466	4,668	4,595	4,402	4,688	5,399	5,057	4,889	4,770	4,639	4,560	5,149	5,410	7,286	8,077	7,655	7,527	7,868	7,742	7,844	9,036	11,008	10,926	10,685	10,257	10,279	10,131	10,146	10,131	9,817	9,800	9,939	5,311	5,092	4,838	4,585	4,664	11,119	10,827	11,150	11,007	11,208	12,196	11,262	10,674	10,520	10,641	10,265	10,198	10,038	9,593	10,022	11,323	11,927	11,987
PP&E	11,196	11,380	11,254	11,323	11,388	11,469	11,982	11,748	11,815	9,893	9,965	10,477	10,664	10,593	10,737	10,763	10,583	10,502	10,180	9,815	9,608	9,505	9,361	9,638	9,727	10,092	10,444	10,210	10,254	9,904	9,954	10,157	10,274	10,431	10,922	10,977	10,857	10,877	11,072	11,381	11,518	11,766	11,798	12,183	14,977	10,313	10,308	10,250	9,786	10,089	10,621	11,023	11,204	11,157	11,414	11,733	11,400	11,423	11,457	11,938	11,871	12,114	12,019	12,242	12,834	12,957	13,260	13,464
